region,component,year,OFM,REMI
Snohomish County,Migration,2022,6156.0,2811.02132797241
Snohomish County,Migration,2023,9243.0,5769.05822753906
Snohomish County,Migration,2024,3661.0,10220.030784606899
Snohomish County,Migration,2025,3191.0,5994.55985697972
Snohomish County,Migration,2026,2667.0,2447.87920136096
Snohomish County,Migration,2027,,4762.06779921156
Snohomish County,Migration,2028,,4752.47762528792
Snohomish County,Migration,2029,,5343.55972497495
Snohomish County,Migration,2030,,6583.87452329728
Snohomish County,Migration,2031,,7480.0379265068905
Snohomish County,Migration,2032,,8308.63829199982
Snohomish County,Migration,2033,,8827.823955875188
Snohomish County,Migration,2034,,9803.313898589611
Snohomish County,Migration,2035,,9498.42146857359
Snohomish County,Migration,2036,,9600.27258900157
Snohomish County,Migration,2037,,9207.48223255912
Snohomish County,Migration,2038,,8602.828314324819
Snohomish County,Migration,2039,,7990.05964374979
Snohomish County,Migration,2040,,7525.56187775337
Snohomish County,Migration,2041,,7205.209587897741
Snohomish County,Migration,2042,,7073.91221924156
Snohomish County,Migration,2043,,7069.216974479161
Snohomish County,Migration,2044,,7256.578530954221
Snohomish County,Migration,2045,,7548.4798139676195
Snohomish County,Migration,2046,,7925.41578632673
Snohomish County,Migration,2047,,8312.59765892097
Snohomish County,Migration,2048,,8683.40699022343
Snohomish County,Migration,2049,,9117.96058538955
Snohomish County,Migration,2050,,9566.494718164799
Snohomish County,Migration,2051,,9968.838144466581
Snohomish County,Migration,2052,,10353.864770644399
Snohomish County,Migration,2053,,10694.683783751501
Snohomish County,Migration,2054,,11028.982272625
Snohomish County,Migration,2055,,11316.5327538988
Snohomish County,Migration,2056,,11418.336877740501
Snohomish County,Migration,2057,,11384.6319589145
Snohomish County,Migration,2058,,11290.5423479033
Snohomish County,Migration,2059,,11124.0772587001
Snohomish County,Migration,2060,,10881.7511995932
Snohomish County,Natural Increase,1990,5248.0,
Snohomish County,Natural Increase,1991,5328.0,
Snohomish County,Natural Increase,1992,5397.0,
Snohomish County,Natural Increase,1993,5002.0,
Snohomish County,Natural Increase,1994,4758.0,
Snohomish County,Natural Increase,1995,4560.0,
Snohomish County,Natural Increase,1996,4456.0,
Snohomish County,Natural Increase,1997,4432.0,
Snohomish County,Natural Increase,1998,4742.0,
Snohomish County,Natural Increase,1999,4738.0,
Snohomish County,Natural Increase,2000,4657.0,
Snohomish County,Natural Increase,2001,4809.0,4761.9097828865
Snohomish County,Natural Increase,2002,4549.0,4462.30980753899
Snohomish County,Natural Increase,2003,4427.0,4369.3795055151
Snohomish County,Natural Increase,2004,4462.0,4601.40416026115
Snohomish County,Natural Increase,2005,4453.0,4344.44078803062
Snohomish County,Natural Increase,2006,4681.0,4880.74027001858
Snohomish County,Natural Increase,2007,5087.0,5216.49223566055
Snohomish County,Natural Increase,2008,5292.0,5363.18257451057
Snohomish County,Natural Increase,2009,5234.0,5208.23612809181
Snohomish County,Natural Increase,2010,4806.0,4776.15848183632
Snohomish County,Natural Increase,2011,4464.0,4230.76026141644
Snohomish County,Natural Increase,2012,4299.0,4199.5942145586
Snohomish County,Natural Increase,2013,4401.0,4476.15921497345
Snohomish County,Natural Increase,2014,4545.0,4375.24516880512
Snohomish County,Natural Increase,2015,4651.0,4578.56267690659
Snohomish County,Natural Increase,2016,4619.0,4754.48369979858
Snohomish County,Natural Increase,2017,4396.0,4312.40537762642
Snohomish County,Natural Increase,2018,4313.0,4217.0981168747
Snohomish County,Natural Increase,2019,4299.0,4048.9016473293295
Snohomish County,Natural Increase,2020,3785.0,3495.6629127264
Snohomish County,Natural Increase,2021,3010.0,3225.78826546669
Snohomish County,Natural Increase,2022,3344.0,3121.95831537247
Snohomish County,Natural Increase,2023,3257.0,3222.89496660233
Snohomish County,Natural Increase,2024,3639.0,3556.0194849968
Snohomish County,Natural Increase,2025,3509.0,3690.7911764485298
Snohomish County,Natural Increase,2026,3233.0,3454.1060256627998
Snohomish County,Natural Increase,2027,,3168.33855693832
Snohomish County,Natural Increase,2028,,2876.8192389433
Snohomish County,Natural Increase,2029,,2574.54335215568
Snohomish County,Natural Increase,2030,,2286.96622876287
Snohomish County,Natural Increase,2031,,2008.6044038183602
Snohomish County,Natural Increase,2032,,1758.865580749
Snohomish County,Natural Increase,2033,,1532.4359231742899
Snohomish County,Natural Increase,2034,,1344.54873500631
Snohomish County,Natural Increase,2035,,1178.11847702125
Snohomish County,Natural Increase,2036,,1043.3093459570798
Snohomish County,Natural Increase,2037,,929.556009998545
Snohomish County,Natural Increase,2038,,833.174129436562
Snohomish County,Natural Increase,2039,,750.8238748496719
Snohomish County,Natural Increase,2040,,679.2803925376741
Snohomish County,Natural Increase,2041,,616.729920496036
Snohomish County,Natural Increase,2042,,568.0836115554821
Snohomish County,Natural Increase,2043,,515.8049513295921
Snohomish County,Natural Increase,2044,,471.4217646888
Snohomish County,Natural Increase,2045,,426.571747950133
Snohomish County,Natural Increase,2046,,400.630959684439
Snohomish County,Natural Increase,2047,,401.426400901996
Snohomish County,Natural Increase,2048,,402.63043335509
Snohomish County,Natural Increase,2049,,433.102449542718
Snohomish County,Natural Increase,2050,,473.533063139864
Snohomish County,Natural Increase,2051,,537.196825912775
Snohomish County,Natural Increase,2052,,619.148898988959
Snohomish County,Natural Increase,2053,,713.3296870694829
Snohomish County,Natural Increase,2054,,821.02225842946
Snohomish County,Natural Increase,2055,,942.456309017008
Snohomish County,Natural Increase,2056,,1065.63195536641
Snohomish County,Natural Increase,2057,,1179.33796067524
Snohomish County,Natural Increase,2058,,1291.40639407235
Snohomish County,Natural Increase,2059,,1397.86556439669
Snohomish County,Natural Increase,2060,,1487.16791949701
